name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
y_rep[32],-1.20392,0.0296067,1.66402,-3.70969,-1.24117,1.50858,3158.92,2612.28,1.0004899999999999
y_rep[33],-0.23814899999999997,0.0266679,1.64418,-2.91554,-0.21773,2.26398,3801.19,3143.41,1.0001
y_rep[34],0.573244,0.024246599999999997,1.60846,-2.06415,0.58211,3.17102,4400.71,3639.18,1.0000799999999999
y_rep[35],-0.979418,0.0244304,1.61192,-3.5309199999999996,-0.9930709999999999,1.60527,4353.36,3600.03,0.99995
y_rep[36],-1.4424700000000001,0.0304022,1.72744,-4.19766,-1.44917,1.36447,3228.47,2669.79,0.9999680000000001
y_rep[37],1.9708299999999999,0.027526799999999997,1.6645599999999998,-0.687895,1.97038,4.61364,3656.7,3023.92,1.00025
y_rep[38],-0.352579,0.0269385,1.66508,-3.0819799999999997,-0.366354,2.3193799999999998,3820.52,3159.4,0.9999389999999999
y_rep[39],1.9881799999999998,0.0268816,1.69523,-0.736216,2.0032099999999997,4.65941,3976.93,3288.73,1.00025
y_rep[40],0.668573,0.0248768,1.62942,-1.99525,0.6692140000000001,3.2805,4290.21,3547.81,0.9996889999999999
y_rep[41],-1.60267,0.0282798,1.68818,-4.22688,-1.6255899999999999,1.08023,3563.59,2946.92,0.9997739999999999
y_rep[42],0.355732,0.027418099999999997,1.66134,-2.32891,0.38642,2.9868799999999998,3671.51,3036.17,1.00051
y_rep[43],0.581442,0.03136459999999999,1.67239,-2.15755,0.598342,3.18739,2843.11,2351.12,1.00041
y_rep[44],1.11261,0.028220299999999997,1.6666,-1.5734,1.12964,3.8099300000000005,3487.71,2884.18,0.999449
y_rep[45],-1.11794,0.0291623,1.67485,-3.8142099999999997,-1.15442,1.6230000000000002,3298.41,2727.63,1.00126
y_rep[46],-0.702213,0.0251509,1.6761599999999999,-3.3612900000000003,-0.7447819999999999,2.0668599999999997,4441.42,3672.85,1.0003
y_rep[47],-0.680463,0.0261457,1.67282,-3.4441900000000003,-0.6633180000000001,1.9809299999999999,4093.54,3385.17,0.99929
y_rep[48],0.23400900000000002,0.027328500000000002,1.6965299999999999,-2.4508099999999997,0.23157199999999997,2.85851,3853.79,3186.91,0.999541
